Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/AUTOMET-Fashion-Business-Clothing-Sweaters/dp/B0D5QR47PT/ref=zg_bs_g_fashion_d_sccl_5/135-5538322-2157468?psc=1,AUTOMET Long Sleeve Shirts Womens Pleated Business Casual Blouses with Smocked Cuffs,AUTOMET,B0D5QR47PT,9.99,4.4,1874.0,"Clothing, Shoes & Jewelry",Women's T-Shirts,55.0,5.0,2024-05-31,Unknown,900.0
https://www.amazon.com/Hanes-EcoSmart-Sweatpant-O8389-Charcoal/dp/B07HDLPVLH/ref=zg_bs_g_fashion_d_sccl_6/135-5538322-2157468?psc=1,"Hanes Men's Ecosmart Jogger Sweatpants, Men's Midweight Fleece Lounge Pants, 30.5",Hanes,B07HDLPVLH,13.59,4.4,39639.0,"Clothing, Shoes & Jewelry",Men's Sweatpants,56.0,2.0,2024-03-13,El Salvador,4000.0
https://www.amazon.com/NIce-Caps-Thinsulate-Waterproof-Winter/dp/B07G4K4MVC/ref=zg_bs_g_fashion_d_sccl_7/135-5538322-2157468?psc=1,N'Ice Caps Kids Waterproof Winter Thinsulate Warm Gloves,N'Ice Caps,B07G4K4MVC,19.99,4.6,15797.0,"Clothing, Shoes & Jewelry",Girls' Skiing & Snowboarding Gloves,50.0,1.0,2024-07-18,China,4000.0
https://www.amazon.com/Trendy-Queen-Oversized-Sweatshirts-SleeveSweaters/dp/B0C65S55Q2/ref=zg_bs_g_fashion_d_sccl_8/135-5538322-2157468?psc=1,Trendy Queen Womens Oversized Hoodies Fleece Sweatshirts Long Sleeve Sweaters Pullover Fall Outfits Winter Clothes,Trendy Queen,B0C65S55Q2,38.99,4.5,6346.0,"Clothing, Shoes & Jewelry",Women's Fashion Hoodies,58.0,1.0,2023-05-24,China,3000.0
https://www.amazon.com/Gildan-Cotton-Sleeve-T-Shirt-2-Pack/dp/B07682XJLF/ref=zg_bs_g_fashion_d_sccl_9/135-5538322-2157468?psc=1,"Gildan Unisex Adult Ultra Cotton Long Sleeve T-Shirt, Style G2400, Multipack",Gildan,B07682XJLF,15.99,4.5,146415.0,"Clothing, Shoes & Jewelry",Men's T-Shirts,59.0,2.0,2024-04-09,Honduras,2000.0
https://www.amazon.com/Arctix-Womens-Insulated-Black-Regular/dp/B004D9BR06/ref=zg_bs_g_fashion_d_sccl_10/135-5538322-2157468?psc=1,Arctix Women's Insulated Snow Pants,Arctix,B004D9BR06,32.95,4.3,57890.0,"Clothing, Shoes & Jewelry",Women's Skiing Pants,60.0,1.0,2024-04-08,Bangladesh,6000.0
https://www.amazon.com/Abardsion-Womens-Crop-Long-Sleeve/dp/B0C85MSLD2/ref=zg_bs_g_fashion_d_sccl_11/135-5538322-2157468?psc=1,Abardsion Women's Casual Basic Going Out Crop Tops Slim Fit Short Sleeve Crew Neck Tight T Shirts,Abardsion,B0C85MSLD2,9.99,4.3,4774.0,"Clothing, Shoes & Jewelry",Women's T-Shirts,61.0,4.0,2023-02-17,China,3000.0
https://www.amazon.com/Gildan-G2000-Cotton-T-Shirt-2-Pack/dp/B075ZZ7XKD/ref=zg_bs_g_fashion_d_sccl_12/135-5538322-2157468?psc=1,"Gildan Unisex Adult Ultra Cotton T-Shirt, Style G2000, Multipack",Gildan,B075ZZ7XKD,11.76,4.5,101278.0,"Clothing, Shoes & Jewelry",Women's T-Shirts,62.0,4.0,2024-04-09,Honduras,1000.0
https://www.amazon.com/Pairs-Womens-Sheer-Tights-Reinforced/dp/B086YMWQPC/ref=zg_bs_g_fashion_d_sccl_13/135-5538322-2157468?psc=1,G&Y 3 Pairs Women's Sheer Tights - 20D Control Top Pantyhose with Reinforced Toes,G&Y,B086YMWQPC,9.99,3.7,13897.0,"Clothing, Shoes & Jewelry",Women's Sheers,63.0,1.0,2021-01-27,China,10000.0
https://www.amazon.com/Hanes-Short-Sleeve-Beefy-T-Shirt-Black/dp/B00NOY3JOS/ref=zg_bs_g_fashion_d_sccl_14/135-5538322-2157468?psc=1,"Hanes Men's Beefy-T T-Shirt, Heavyweight Cotton Tee, 1 Or 2 Pack, Big & Tall",Hanes,B00NOY3JOS,8.07,4.5,59271.0,"Clothing, Shoes & Jewelry",Men's T-Shirts,64.0,3.0,2024-04-01,Haiti,2000.0
https://www.amazon.com/fuinloth-Balaclava-Protector-Motorcycle-Tactical/dp/B086Z2WR6Y/ref=zg_bs_g_fashion_d_sccl_15/135-5538322-2157468?psc=1,"Fuinloth Balaclava Ski Mask, Motorcycle UV Protector Scarf, Summer Cooling Neck Gaiter for Men/Women",Fuinloth,B086Z2WR6Y,6.99,4.4,37728.0,"Clothing, Shoes & Jewelry",Men's Balaclavas,65.0,1.0,2020-04-10,Unknown,9759.294871794871
https://www.amazon.com/STELLE-Ballet-Footed-Toddler-Little/dp/B082CHYVDL/ref=zg_bs_g_fashion_d_sccl_16/135-5538322-2157468?psc=1,Stelle Girls' Ultra Soft Pro Dance Tight/Ballet Footed Tight (Toddler/Little Kid/Big Kid),Stelle,B082CHYVDL,7.19,4.6,28464.0,"Clothing, Shoes & Jewelry",Girls' Dance Tights,79.0,1.0,2020-12-18,China,2000.0
